aid,view,danmaku,reply,favorite,coin,share
1114,2166,21,34,15,6,12
1111,29747,187,479,242,38,104
1119,5019,114,74,219,29,11
1123,2245,7,51,21,4,8
1122,16873,45,136,79,16,30
1125,1694,11,60,4,1,5
1126,14315,91,134,110,15,14
1127,40741,377,271,2763,275,125
1120,1669,12,31,8,1,2
1131,1436,25,18,18,3,8
1121,70897,1399,271,1994,115,64
1045,3325,0,19,9,1,3
1133,18556,1293,143,133,10,14
1046,5650,52,29,50,4,9
1132,1237,36,11,19,1,3
1134,25854,1075,278,151,37,33
1137,1636,11,9,3,3,5
1136,--,24,11,6,0,3
1135,66712,3129,261,305,16,19
1139,3453,22,10,30,7,12
1143,1458,34,33,5,2,1
1141,1489,14,13,11,5,7
1144,2193,28,21,56,4,11
1145,3946,81,56,50,2,4
1146,4878,344,96,43,4,5
1148,3219,2,38,47,9,4
1152,12182,94,36,233,27,7
1153,16873,682,104,812,40,72
1155,2099,6,10,8,1,3
1154,1325,15,7,4,1,3
1156,2115,6,13,6,2,3
1159,36341,123,158,35,14,7
1160,4921,224,13,17,2,2
1161,1378,56,22,3,2,7
1162,--,602,43,371,33,6
1164,937,0,13,3,6,7
1166,3096,27,46,18,10,10
1168,1549,9,22,24,5,5
1169,3720,82,32,24,3,4
1167,--,97,72,25,7,9
1170,7010,107,16,43,7,8
1173,3748,231,27,14,1,2
1172,6330,1027,41,14,1,7
1175,2775,188,28,7,2,4
1176,3763,270,35,38,4,6
1178,--,1661,121,329,221,39
1179,2906,61,25,12,5,9
1182,1774,23,9,19,11,6
1184,7373,100,27,64,72,4
1103,2382,40,34,35,1,7
1190,1879,19,11,4,2,2
1189,590742,12715,742,1789,360,192
1104,2341,92,39,12,2,2
1191,2052,15,30,23,2,5
1194,952,5,9,28,2,3
1196,139026,10575,319,1267,176,161
1198,4060,144,37,28,1,12
1205,7149,362,59,34,11,6
1207,56471,2732,58,792,21,12
1212,26223,278,91,246,23,147
1215,9272,435,48,93,24,13
1218,2203,69,28,8,3,3
1219,80300,3,123,155,44,24
1222,6319,1,51,12,4,7
1224,35341,3809,83,522,73,41
1231,8479,246,46,177,12,11
1230,4691,54,37,30,4,16
1237,1461,12,12,8,1,5
1238,2677,45,25,25,2,3
1239,4280,151,37,47,30,7
1240,3579,90,19,37,4,7
1243,5618,353,145,34,27,6
1242,7762,118,13,127,10,46
1245,4552,68,42,9,2,8
1244,3631,285,44,11,12,4
1250,3671,35,21,33,4,5
1251,3479,57,21,79,7,5
1252,8273,92,34,159,4,7
1254,1982,15,19,25,2,3
1255,1852,20,19,16,5,9
1263,39305,492,126,483,30,22
1265,4421,99,11,27,2,4
1271,4063,176,36,35,12,9
1273,51729,71,262,894,66,8
1278,3836,0,13,9,3,5
1279,1523,25,21,5,1,6
1280,3937,56,15,52,4,9
1281,5777,151,25,207,11,7
1282,8734,164,68,95,12,19
1284,1345,46,11,18,4,4
1286,2285,49,8,19,3,6
1288,3751,276,18,14,2,8
1285,2052,18,9,14,2,5
1289,16158,351,64,177,14,6
1291,1816,58,14,5,2,4
1292,9549,222,24,67,12,14
1297,2489,73,28,60,5,7
1299,134780,3815,1667,507,355,55
1300,4408,105,29,30,3,6
1302,1493,6,13,12,12,4
1303,20962,401,158,137,68,29
1305,80147,2761,111,1655,71,37
1306,13810,174,46,272,25,30
1307,25666,886,126,375,18,14
1311,576988,9328,802,2024,845,445
1304,1290,11,8,6,2,3
1315,2738,40,49,146,6,7
1319,6616,1,15,24,3,5
1318,719,6,10,5,2,2
1320,1932,41,18,13,5,5
1322,3819,2,34,32,1,7
1325,1510,1,15,9,4,5
1323,901,3,5,0,1,2
1327,451,0,5,0,0,7
1328,2126,2,9,13,2,4
1329,615,2,5,4,1,4
1331,1115,0,9,11,2,6
1332,2461,1,10,1,3,7
1333,1129,2,10,6,1,3
1334,1158,0,10,3,1,7
1335,2160,5,9,16,6,5
1338,2609,0,7,4,3,3
1337,9894,12,45,108,4,21
1340,25060,160,159,554,119,35
1341,600,2,4,5,1,5
1342,669,3,9,5,2,3
1343,1673,34,13,31,1,7
1346,690,23,11,10,3,5
1349,3828,211,8,15,3,9
1348,1683,11,17,48,5,4
1350,6269,130,29,67,2,5
1352,1798,88,30,10,1,4
1355,2312,67,17,14,2,7
1356,6381,175,59,458,52,51
1354,3739,92,18,4,1,5
1360,7381,165,12,34,5,12
1359,6914,165,16,126,23,11
1361,3946,7,22,45,4,6
1364,1975,36,6,23,0,4
1366,10530,318,46,163,15,13
1367,1217,8,11,17,2,10
1368,2519,135,36,25,1,7
1369,944,14,12,8,0,6
1370,15424,282,29,280,24,23
1371,18342,440,52,88,15,7
1372,34185,2892,33,513,12,14
1373,1215,77,9,9,0,5
1375,2664,72,23,79,19,5
1381,15139,7,48,24,4,5
1378,1525,23,15,10,1,5
1387,1832,62,6,11,1,4
1388,29569,922,206,914,164,78
1391,1143,31,12,22,1,5
1390,219483,6935,135,189,133,13
1389,262954,8838,106,202,135,11
1392,16634,149,23,26,1,7
1393,2257,23,23,10,7,3
1395,3427,135,19,34,10,9
1396,16196,154,23,313,17,49
1394,12899,201,76,479,52,34
1397,1601,29,20,11,3,7
1400,10683,174,74,44,14,7
1402,14766,135,25,133,17,31
1405,1199,1,10,5,2,6
1404,2055,122,14,9,1,1
1407,4598,1,21,38,33,11
1408,20047,8,33,26,6,6
1411,5620,3,41,81,8,9
1413,7991,265,220,524,115,16
1414,2696,7,45,10,1,4
1412,5276,4,35,16,4,7
1417,2546,19,16,20,6,6
1419,1862,57,20,17,3,1
1421,1839,2,9,14,3,6
1422,4081,214,27,19,6,9
1420,1348,15,13,17,3,5
1423,5100,816,25,182,20,11
1424,1390,12,12,5,3,3
1425,2041,31,25,14,2,4
1427,3964,68,23,34,3,9
1431,3362,89,18,8,3,4
1435,36000,5,23,51,18,5
1436,3917,329,29,43,7,6
1444,1521,133,68,35,8,4
1446,4320,162,60,44,18,8
1447,1584,33,5,8,1,7
1450,1663,17,10,3,1,8
1448,7826,81,28,13,4,11
1454,3492,31,36,6,2,5
1449,29950,535,67,361,19,7
1451,3852,125,10,46,6,7
1452,1388,13,34,5,2,3
1458,3944,76,41,127,20,14
1460,1041,7,7,7,2,10
1461,4784,400,18,20,1,6
1462,945,63,11,10,1,5
1456,1701,1,12,3,1,6
1463,1469,7,8,1,5,4
1464,43886,440,20,88,25,4
1465,928,3,8,2,6,5
1466,3423,46,37,37,12,4
1468,1558,60,17,2,1,7
1471,2450,78,11,8,5,4
1473,1834,30,12,17,1,12
1475,7805,210,27,25,4,3
1476,1556,95,20,10,3,4
1477,5630,80,38,49,2,5
1478,85594,8,153,598,50,93
1479,--,49,19,13,2,5
1481,1775,78,4,2,1,3
1480,1750,3,5,10,1,4
1482,2962,48,17,4,1,3
1485,2866,60,31,83,13,5
1484,1204,59,7,0,1,2
1486,1276,50,9,2,2,6
1488,2192,12,9,4,8,5
1490,2181,76,13,4,2,5
1489,1200,45,14,2,2,5
1487,5298,85,15,30,4,8
1491,7031,204,41,137,10,4
1492,8138,28,53,131,14,5
1494,1221,108,9,4,1,4
1495,1324,17,13,13,2,5
1496,1295,62,12,39,3,5
1500,2946,32,17,7,3,3
1501,54617,2157,57,1201,37,24
1503,11826,1377,56,53,9,16
1502,1980,1,6,12,5,8
1506,9624,191,85,187,59,9
1504,7859,723,141,30,6,6
1507,1971,106,21,1,1,0
1517,12543,100,23,116,8,5
1509,1265,228,7,16,2,4
1512,7236,22,9,14,131,5
1513,30174,1431,10,706,17,12
1514,4757,30,18,33,6,8
1515,1691,74,21,50,3,4
1524,1865,27,8,10,14,6
1526,66676,1667,107,509,20,38
1525,814,11,2,1,1,5
1527,--,152,89,214,33,26
1528,3500,47,9,31,4,16
1529,1103,41,10,35,9,6
1531,1068,6,6,22,7,10
1536,4639,342,15,39,16,7
1532,14238,882,32,90,4,7
1534,5120,167,22,199,15,16
1533,79828,1550,110,395,75,62
1535,1546,34,14,7,4,2
1537,4968,355,23,40,2,4
1546,1308,71,7,13,3,4
1543,702,61,7,5,1,7
1545,881,11,11,14,1,4
1544,2276,113,12,6,1,7
1548,180618,859,287,2393,249,235
1547,3888,58,12,25,168,3
1549,5597,812,13,9,10,7
1550,2560,48,18,35,7,3
1554,9615,573,33,36,17,11
1551,7582,80,71,29,134,6
1555,3551,27,9,30,88,4
1552,14367,789,64,230,341,23
1557,5401,191,11,21,4,4
1559,13940,74,20,7,281,2
1564,173809,6872,742,3903,174,93
1566,3172,64,12,22,9,3
1565,20205,392,56,82,17,43
1567,18874,1017,11,483,14,8
1569,4171,1137,14,2,1,5
1571,4698,119,51,244,30,16
1572,1059,42,5,13,2,9
1573,3328,4,37,10,55,4
1574,13806,167,51,40,151,5
1575,4336,11,6,7,16,1
1579,423635,7598,750,4641,326,436
1577,2858,32,13,15,47,6
1578,--,257,24,16,1,4
1581,54222,1188,247,1322,64,24
1576,60234,2014,65,410,22,91
1580,9181,230,42,86,6,5
1586,23436,813,12,485,194,5
1584,9958,262,36,67,6,3
1583,4259,100,22,76,3,7
1587,12223,27,20,21,686,7
1589,1151,7,9,3,1,1
1591,--,676,52,116,2,9
1600,3616,73,12,31,33,4
1601,9058,316,91,40,5,20
1603,17239,606,139,344,43,6
1605,--,651,438,1723,276,151
1608,3486,650,34,63,8,8
1610,--,1226,206,398,65,77
1611,726,9,16,15,1,3
1612,330076,10767,2602,5471,1725,298
1615,965,86,8,1,1,2
1617,77767,1479,253,3204,1065,147
